domain,url,discovery_source,risk_score,risk_level,investigated_at
1xbetbet-x17d-charlie2.top,http://1xbetbet-x17d-charlie2.top,keyword_match,53,MEDIUM,2026-07-26 14:45:10.834888+00:00
mostbetofficial-poland.pl,http://mostbetofficial-poland.pl,keyword_match,53,MEDIUM,2026-07-26 14:30:13.052854+00:00
portal.pokerdom-casino-x3x.top,http://portal.pokerdom-casino-x3x.top,keyword_match,53,MEDIUM,2026-07-23 23:03:28.117443+00:00
www.1xbet-account-help.ru,http://www.1xbet-account-help.ru,keyword_match,53,MEDIUM,2026-07-26 11:43:42.264577+00:00
accounts.vavada-casino-bezdepozitnyj-bonus1.top,http://accounts.vavada-casino-bezdepozitnyj-bonus1.top,keyword_match,53,MEDIUM,2026-07-24 03:22:19.486819+00:00
vavadacasino.restorewiki.ru,http://vavadacasino.restorewiki.ru,keyword_match,53,MEDIUM,2026-07-26 16:54:32.583789+00:00
888starz.info,http://888starz.info,typosquat,53,MEDIUM,2026-07-26 14:00:31.604725+00:00
vavada-amp-8877.buzz,http://vavada-amp-8877.buzz,keyword_match,53,MEDIUM,2026-07-26 13:47:44.319404+00:00
www.spdfraktion-vulkaneifel.de,http://www.spdfraktion-vulkaneifel.de,keyword_match,53,MEDIUM,2026-07-26 13:18:39.037061+00:00
www.jusos-vulkaneifel.de,http://www.jusos-vulkaneifel.de,keyword_match,53,MEDIUM,2026-07-26 16:38:39.993864+00:00
www.1xbet-service-bk.ru,http://www.1xbet-service-bk.ru,keyword_match,53,MEDIUM,2026-07-26 13:44:06.141532+00:00
www.1xbet-ent15.top,http://www.1xbet-ent15.top,keyword_match,53,MEDIUM,2026-07-26 10:23:32.391895+00:00
789maxbett.com,http://789maxbett.com,keyword_match,53,MEDIUM,2026-07-26 16:06:20.833537+00:00
sportsbook.casinomaxi821.com,http://sportsbook.casinomaxi821.com,keyword_match,53,MEDIUM,2026-07-26 13:58:37.727536+00:00
twincasino.best,http://twincasino.best,keyword_match,53,MEDIUM,2026-07-26 10:43:24.441180+00:00
1671joycasino.com,http://1671joycasino.com,keyword_match,53,MEDIUM,2026-07-26 10:45:28.198482+00:00
larabetcasino.club,http://larabetcasino.club,keyword_match,53,MEDIUM,2026-07-24 08:41:13.828514+00:00
pinuptop-best.ru,http://pinuptop-best.ru,keyword_match,52,MEDIUM,2026-07-26 16:29:19.060585+00:00
mostbet-norwayonline.com,http://mostbet-norwayonline.com,keyword_match,52,MEDIUM,2026-07-26 16:14:59.449565+00:00
b2xbet-app-com.pages.dev,http://b2xbet-app-com.pages.dev,keyword_match,52,MEDIUM,2026-07-26 16:11:03.327588+00:00
i7betcasino-org.pages.dev,http://i7betcasino-org.pages.dev,keyword_match,52,MEDIUM,2026-07-26 10:49:46.046672+00:00
www.oslobet-2026guncel.vip,http://www.oslobet-2026guncel.vip,keyword_match,52,MEDIUM,2026-07-24 06:41:41.248824+00:00
www.1xbet2026guncelgiris.vip,http://www.1xbet2026guncelgiris.vip,keyword_match,52,MEDIUM,2026-07-24 06:20:16.406381+00:00
pinco-azerbaijan-club.net,http://pinco-azerbaijan-club.net,keyword_match,52,MEDIUM,2026-07-26 11:11:17.926467+00:00
cazino-vulkan-onlines.net,http://cazino-vulkan-onlines.net,keyword_match,52,MEDIUM,2026-07-23 19:57:44.491423+00:00
www.jili188slot.com.zlg.lbn.temporary.site,http://www.jili188slot.com.zlg.lbn.temporary.site,keyword_match,52,MEDIUM,2026-07-23 20:11:42.257393+00:00
chests-lottery-2-pinco-tr.pu550ev.com,http://chests-lottery-2-pinco-tr.pu550ev.com,keyword_match,52,MEDIUM,2026-07-24 02:54:47.199891+00:00
nexbet.biz,http://nexbet.biz,keyword_match,52,MEDIUM,2026-07-26 09:52:27.849435+00:00
